"Series";"Time";"Value"
"Z";"2020-09-26T17:14:02-04:00";19920
"Z";"2020-09-26T17:14:02-04:00";16975
"Z";"2020-09-26T17:14:02-04:00";14066
"Z";"2020-09-26T17:14:02-04:00";13863
"Z";"2020-09-26T17:14:02-04:00";14711
"Z";"2020-09-26T17:14:02-04:00";16824
"Z";"2020-09-26T17:14:02-04:00";19689
"Z";"2020-09-26T17:14:03-04:00";20545
"Z";"2020-09-26T17:14:03-04:00";18734
"Z";"2020-09-26T17:14:03-04:00";14996
"Z";"2020-09-26T17:14:03-04:00";12350
"Z";"2020-09-26T17:14:03-04:00";14744
"Z";"2020-09-26T17:14:03-04:00";17405
"Z";"2020-09-26T17:14:03-04:00";17470
"Z";"2020-09-26T17:14:03-04:00";18664
"Z";"2020-09-26T17:14:03-04:00";18748
"Z";"2020-09-26T17:14:03-04:00";16097
"Z";"2020-09-26T17:14:03-04:00";13087
"Z";"2020-09-26T17:14:03-04:00";14031
"Z";"2020-09-26T17:14:03-04:00";17920
"Z";"2020-09-26T17:14:03-04:00";18231
"Z";"2020-09-26T17:14:03-04:00";16917
"Z";"2020-09-26T17:14:03-04:00";14181
"Z";"2020-09-26T17:14:03-04:00";9784
"Z";"2020-09-26T17:14:03-04:00";8975
"Z";"2020-09-26T17:14:03-04:00";12057
"Z";"2020-09-26T17:14:03-04:00";16635
"Z";"2020-09-26T17:14:03-04:00";20023
"Z";"2020-09-26T17:14:03-04:00";21378
"Z";"2020-09-26T17:14:03-04:00";20621
"Z";"2020-09-26T17:14:03-04:00";19056
"Z";"2020-09-26T17:14:03-04:00";18240
"Z";"2020-09-26T17:14:03-04:00";17333
"Z";"2020-09-26T17:14:03-04:00";16641
"Z";"2020-09-26T17:14:03-04:00";16240
"Z";"2020-09-26T17:14:03-04:00";16940
"Z";"2020-09-26T17:14:03-04:00";18690
"Z";"2020-09-26T17:14:03-04:00";17928
"Z";"2020-09-26T17:14:03-04:00";16036
"Z";"2020-09-26T17:14:03-04:00";17210
"Z";"2020-09-26T17:14:03-04:00";18671
"Z";"2020-09-26T17:14:03-04:00";17896
"Z";"2020-09-26T17:14:03-04:00";17573
"Z";"2020-09-26T17:14:03-04:00";18100
"Z";"2020-09-26T17:14:03-04:00";17763
"Z";"2020-09-26T17:14:03-04:00";17535
"Z";"2020-09-26T17:14:03-04:00";17869
"Z";"2020-09-26T17:14:03-04:00";18517
"Z";"2020-09-26T17:14:03-04:00";18996
"Z";"2020-09-26T17:14:03-04:00";16576
"Z";"2020-09-26T17:14:03-04:00";14563
"Z";"2020-09-26T17:14:03-04:00";15452
"Z";"2020-09-26T17:14:03-04:00";16370
"Z";"2020-09-26T17:14:03-04:00";17979
"Z";"2020-09-26T17:14:03-04:00";18126
"Z";"2020-09-26T17:14:03-04:00";16375
"Z";"2020-09-26T17:14:03-04:00";15357
"Z";"2020-09-26T17:14:03-04:00";14451
"Z";"2020-09-26T17:14:03-04:00";14962
"Z";"2020-09-26T17:14:03-04:00";16613
"Z";"2020-09-26T17:14:03-04:00";17952
"Z";"2020-09-26T17:14:03-04:00";17621
"Z";"2020-09-26T17:14:03-04:00";15354
"Z";"2020-09-26T17:14:03-04:00";16005
"Z";"2020-09-26T17:14:03-04:00";17119
"Z";"2020-09-26T17:14:03-04:00";15695
"Z";"2020-09-26T17:14:03-04:00";15717
"Z";"2020-09-26T17:14:03-04:00";16775
"Z";"2020-09-26T17:14:03-04:00";16924
"Z";"2020-09-26T17:14:03-04:00";16672
"Z";"2020-09-26T17:14:03-04:00";16545
"Z";"2020-09-26T17:14:03-04:00";16782
"Z";"2020-09-26T17:14:03-04:00";17090
"Z";"2020-09-26T17:14:03-04:00";16083
"Z";"2020-09-26T17:14:03-04:00";15686
"Z";"2020-09-26T17:14:03-04:00";16157
"Z";"2020-09-26T17:14:03-04:00";16380
"Z";"2020-09-26T17:14:03-04:00";17397
"Z";"2020-09-26T17:14:03-04:00";17413
"Z";"2020-09-26T17:14:03-04:00";16271
"Z";"2020-09-26T17:14:03-04:00";16503
"Z";"2020-09-26T17:14:03-04:00";16628
"Z";"2020-09-26T17:14:03-04:00";15527
"Z";"2020-09-26T17:14:03-04:00";16372
"Z";"2020-09-26T17:14:03-04:00";16655
"Z";"2020-09-26T17:14:03-04:00";16036
"Z";"2020-09-26T17:14:03-04:00";17610
"Z";"2020-09-26T17:14:03-04:00";19218
"Z";"2020-09-26T17:14:03-04:00";18402
"Z";"2020-09-26T17:14:03-04:00";17397
"Z";"2020-09-26T17:14:03-04:00";18808
"Z";"2020-09-26T17:14:03-04:00";19980
"Z";"2020-09-26T17:14:03-04:00";21469
"Z";"2020-09-26T17:14:03-04:00";23497
"Z";"2020-09-26T17:14:03-04:00";22912
"Z";"2020-09-26T17:14:03-04:00";19393
"Z";"2020-09-26T17:14:03-04:00";16313
"Z";"2020-09-26T17:14:03-04:00";15503
"Z";"2020-09-26T17:14:03-04:00";14675
"Z";"2020-09-26T17:14:03-04:00";14184
"Z";"2020-09-26T17:14:03-04:00";15985
"Z";"2020-09-26T17:14:03-04:00";18227
"Z";"2020-09-26T17:14:03-04:00";16836
"Z";"2020-09-26T17:14:03-04:00";13648
"Z";"2020-09-26T17:14:03-04:00";13135
"Z";"2020-09-26T17:14:03-04:00";13957
"Z";"2020-09-26T17:14:03-04:00";14496
"Z";"2020-09-26T17:14:04-04:00";15442
"Z";"2020-09-26T17:14:04-04:00";17796
"Z";"2020-09-26T17:14:04-04:00";18065
"Z";"2020-09-26T17:14:04-04:00";15524
"Z";"2020-09-26T17:14:04-04:00";13910
"Z";"2020-09-26T17:14:04-04:00";13367
"Z";"2020-09-26T17:14:04-04:00";14364
"Z";"2020-09-26T17:14:04-04:00";15860
"Z";"2020-09-26T17:14:04-04:00";17264
"Z";"2020-09-26T17:14:04-04:00";18197
"Z";"2020-09-26T17:14:04-04:00";17085
"Z";"2020-09-26T17:14:04-04:00";14925
"Z";"2020-09-26T17:14:04-04:00";12778
"Z";"2020-09-26T17:14:04-04:00";13066
"Z";"2020-09-26T17:14:04-04:00";17305
"Z";"2020-09-26T17:14:04-04:00";19329
"Z";"2020-09-26T17:14:04-04:00";16810
"Z";"2020-09-26T17:14:04-04:00";15283
"Z";"2020-09-26T17:14:04-04:00";14670
"Z";"2020-09-26T17:14:04-04:00";14354
"Z";"2020-09-26T17:14:04-04:00";15347
"Z";"2020-09-26T17:14:04-04:00";17339
"Z";"2020-09-26T17:14:04-04:00";19005
"Z";"2020-09-26T17:14:04-04:00";17389
"Z";"2020-09-26T17:14:04-04:00";14836
"Z";"2020-09-26T17:14:04-04:00";14447
"Z";"2020-09-26T17:14:04-04:00";15915
"Z";"2020-09-26T17:14:04-04:00";17672
"Z";"2020-09-26T17:14:04-04:00";18600
"Z";"2020-09-26T17:14:04-04:00";17750
"Z";"2020-09-26T17:14:04-04:00";16090
"Z";"2020-09-26T17:14:04-04:00";15867
"Z";"2020-09-26T17:14:04-04:00";15009
"Z";"2020-09-26T17:14:04-04:00";15193
"Z";"2020-09-26T17:14:04-04:00";17794
"Z";"2020-09-26T17:14:04-04:00";18531
"Z";"2020-09-26T17:14:04-04:00";16925
"Z";"2020-09-26T17:14:04-04:00";15672
"Z";"2020-09-26T17:14:04-04:00";16224
"Z";"2020-09-26T17:14:04-04:00";16088
"Z";"2020-09-26T17:14:04-04:00";15613
"Z";"2020-09-26T17:14:04-04:00";17390
"Z";"2020-09-26T17:14:04-04:00";18415
"Z";"2020-09-26T17:14:04-04:00";16860
"Z";"2020-09-26T17:14:04-04:00";15491
"Z";"2020-09-26T17:14:04-04:00";15367
"Z";"2020-09-26T17:14:04-04:00";16164
"Z";"2020-09-26T17:14:04-04:00";17617
"Z";"2020-09-26T17:14:04-04:00";18613
"Z";"2020-09-26T17:14:04-04:00";18747
"Z";"2020-09-26T17:14:04-04:00";17610
"Z";"2020-09-26T17:14:04-04:00";17123
"Z";"2020-09-26T17:14:04-04:00";17020
"Z";"2020-09-26T17:14:04-04:00";14713
"Z";"2020-09-26T17:14:04-04:00";15137
"Z";"2020-09-26T17:14:04-04:00";18795
"Z";"2020-09-26T17:14:04-04:00";19281
"Z";"2020-09-26T17:14:04-04:00";17108
"Z";"2020-09-26T17:14:04-04:00";16807
"Z";"2020-09-26T17:14:04-04:00";17553
"Z";"2020-09-26T17:14:04-04:00";15761
"Z";"2020-09-26T17:14:04-04:00";14713
"Z";"2020-09-26T17:14:04-04:00";15943
"Z";"2020-09-26T17:14:04-04:00";17220
"Z";"2020-09-26T17:14:04-04:00";17567
"Z";"2020-09-26T17:14:04-04:00";17342
"Z";"2020-09-26T17:14:04-04:00";17319
"Z";"2020-09-26T17:14:04-04:00";15984
"Z";"2020-09-26T17:14:04-04:00";16122
"Z";"2020-09-26T17:14:04-04:00";16638
"Z";"2020-09-26T17:14:04-04:00";15321
"Z";"2020-09-26T17:14:04-04:00";16253
"Z";"2020-09-26T17:14:04-04:00";19199
"Z";"2020-09-26T17:14:04-04:00";19600
"Z";"2020-09-26T17:14:04-04:00";16068
"Z";"2020-09-26T17:14:04-04:00";14782
"Z";"2020-09-26T17:14:04-04:00";16184
"Z";"2020-09-26T17:14:04-04:00";15743
"Z";"2020-09-26T17:14:04-04:00";16010
"Z";"2020-09-26T17:14:04-04:00";17854
